receiver_code,lat,lon,n_events
IDO,33.79678,-116.22152,465
BOM,33.36465,-115.72963,463
GWY,36.186,-116.6698,461
MSC,34.03852,-116.64795,456
HWB,33.0262,-116.9596,444
COA,32.86341,-115.12339,439
BTW,36.9978,-116.5674,435
MUR,33.59999,-117.19543,432
QSM,35.965,-116.869102,429
IKP,32.65012,-116.10948,423
PASC,34.17141,-118.18523,413
SPG2,36.20057,-118.76624,407
GSC,35.30177,-116.80574,406
TOR,33.57526,-116.22584,400
PSD,33.82393,-116.55026,396
RMX,32.5535,-116.0288,379
BTP,34.68224,-118.57398,378
ERR,33.11675,-115.82267,369
ELS2,33.64907,-117.42604,365
DEV,33.93597,-116.57794,364
RVR,33.99351,-117.37545,364
SLA,35.89095,-117.28332,364
CGO,36.5504,-117.80295,351
SLR,33.83359,-116.79737,350
PLM,33.35361,-116.86265,346
MGD,33.18884,-116.76064,334
MGE,33.81841,-116.36874,334
EDW2,34.8811,-117.99388,332
PER,33.86164,-117.20529,332
MPM,36.05799,-117.48901,329
CTW,33.67728,-115.87214,328
IPT,34.19701,-117.28498,327
SVD,34.10647,-117.09822,325
SAL,33.2801,-115.98585,325
TEH,35.2913,-118.42079,321
CHF,34.33341,-118.02585,316
DEC,34.25353,-118.33383,314
BTC,33.01213,-115.21987,297
LDR,34.9906,-118.34156,294
IMP,32.90147,-115.56071,292
MWC,34.22362,-118.05832,278
HEC,34.8294,-116.335,274
LPC,34.31478,-117.54642,272
DJJ,34.10618,-118.45505,262
ALP,34.68708,-118.29946,260
SDG,32.784,-117.13805,253
CJV2,34.52978,-118.1445,246
ADO,34.55046,-117.43391,244
OSI,34.6145,-118.7235,243
GMA,34.29148,-116.38256,239
TCHL,35.688123,-120.400916,238
VTV,34.56065,-117.3296,237
RAMR,35.63597,-120.86984,236
NBS,34.78035,-116.55798,235
COON,32.75394,-115.95085,223
MCT,34.22645,-116.04073,214
PDU,34.1207,-117.63808,212
CBX,32.3131,-116.6636,210
VES,35.84089,-119.08469,210
ARV,35.1269,-118.83009,207
POB2,33.68708,-116.92382,204
RRX,34.87533,-116.99684,203
LUC2,34.45638,-116.96423,202
MPI,34.81258,-119.1453,201
CCA,35.15252,-118.01649,200
GR2,34.11816,-118.30024,199
CHN,33.99879,-117.68044,193
THIS,35.72405,-120.22845,192
SNR,32.86184,-115.43602,190
TAR,36.868,-116.6331,190
SJX,32.0048,-115.948,189
BLA,34.06948,-116.38896,189
PUV,36.9494,-115.9642,188
MTG,33.19915,-116.64727,187
WRC2,35.9479,-117.65038,180
SLB,33.48519,-115.86643,177
LJR,34.80762,-118.86775,175
MSJ,33.80801,-116.96789,174
109C,32.8889,-117.1051,174
TRAM,35.67691,-120.27093,173
LMR2,34.93439,-117.69629,173
MLS,34.0046,-117.56162,166
SGL,32.64933,-115.72638,165
PSR,34.09181,-117.80709,163
SRN,33.82854,-117.78938,163
CIA,33.401898,-118.415021,163
VCS,34.48372,-118.11781,162
PLS,33.7953,-117.60906,161
TOW2,35.80856,-117.76488,159
IBP,32.66112,-116.09286,157
SLH,33.19269,-116.25399,157
WOR,35.69563,-118.24246,155
LUG,34.3656,-117.36683,153
DZA,32.60657,-116.77477,153
SHP,36.5047,-115.1567,152
BHP,33.99053,-118.36171,148
WHF,35.69513,-118.35183,143
RSS,33.97327,-117.32674,141
BRE,33.80776,-117.98116,140
WAS2,35.7377,-118.55743,138
LMS,33.81744,-117.445,137
FUR,36.46703,-116.86322,136
WWC,33.94068,-116.40876,135
BCW,34.94009,-119.41313,132
FMP,33.71264,-118.29381,131
STG,33.664,-117.76856,130
JNH2,34.448941,-117.95541,128
SOL,32.841,-117.248,123
OLI,33.94539,-117.92372,122
SDD,33.55259,-117.66171,121
SBB2,34.68844,-117.82424,116
DSC,35.14255,-116.10395,116
RXH,33.18313,-115.62257,116
SNO,34.03515,-116.80778,110
TA2,34.38203,-117.67822,108
NSS2,33.55553,-115.94586,108
SCZ2,33.99543,-119.6351,107
CAR,35.30819,-119.84583,106
DTP,35.26742,-117.84581,105
SRT,35.69235,-117.75051,103
SBPX,34.2324,-117.23484,100
DAN,34.63745,-115.38115,99
SBC,34.44076,-119.71492,99
RPV,33.74346,-118.40412,98
BLC,34.24356,-118.67312,98
RUN,32.97222,-114.97809,98
HAY,33.70734,-115.63889,96
LCG,34.00033,-118.37794,95
WSS,34.1717,-118.64971,93
HYS,34.86532,-117.56975,92
RRK,36.0656,-115.4668,91
GRA,36.99608,-117.36621,86
DLA,33.84822,-118.09624,84
LMY,34.733165,-119.10391,84
LAF,33.86889,-118.33143,82
TFT,35.14592,-119.41946,82
LRR2,34.52706,-118.02998,81
PALA,33.38905,-117.03182,80
MOP,34.28096,-118.90469,80
MPP,34.88848,-119.81362,80
KYV,33.92545,-116.1734,77
NJQ,34.53412,-120.17737,77
BAK,35.34444,-119.10445,76
HLL,34.17643,-118.35967,75
JTH,34.12644,-116.03785,73
CRG,35.2422,-119.72486,69
HOL,34.45825,-117.84505,67
WMF,36.11774,-117.85484,66
CLT,34.09284,-117.31687,66
LGB,33.9753,-118.14918,66
TKX,32.5687,-116.6075,64
LMH,33.74418,-117.39135,64
RUS,34.05075,-118.08078,63
DVT,32.65915,-116.10061,62
TSCN,35.543978,-120.348062,61
STC,34.30302,-119.18676,61
LGU,34.10819,-119.06587,61
LLS,33.68447,-117.94304,61
IRM,34.15738,-115.14513,60
FOX2,34.7339,-118.24046,60
TJX,32.51017,-117.0543,60
TUQ,35.43584,-115.92389,57
DAC,36.277,-117.5937,56
SES,34.43692,-119.1375,56
LYP,32.70333,-116.7548,55
WGR,34.51085,-119.27407,54
GUVIX,32.3029,-115.076,54
VOG,36.32098,-119.38226,54
SPF,34.05933,-118.64614,53
WLT,34.00948,-117.95077,53
LFP,34.30529,-118.48805,52
RAG,34.68289,-116.15139,52
SMF2,34.02201,-118.44627,51
SWP,32.79184,-116.09718,50
USC,34.01919,-118.28631,49
WWF,33.27884,-115.57888,49
SHO,35.89953,-116.2753,48
GATR,34.55266,-120.50235,48
WTT2,33.94867,-118.25539,48
WLH2,36.152072,-118.313186,47
SNCC,33.24787,-119.52437,46
PDR,33.96273,-118.43702,46
RKMO,33.67421,-117.60947,45
HAR,35.0114,-117.29909,45
SYP,34.52781,-119.97832,45
GMR,34.78457,-115.65994,45
WTNK,36.1917,-115.0106,44
SMM,35.3142,-119.99581,42
THM,33.65066,-116.07734,41
TPO,34.87883,-118.22864,41
RIN,34.28196,-118.47925,40
FIG,34.72832,-119.98803,40
PHL,35.40773,-120.54556,38
SBI,33.48046,-119.02986,38
LCP,34.73551,-120.27996,37
WMD,33.03826,-115.58191,36
DAW,36.27148,-117.59214,34
LOC,34.690735,-120.446901,33
OAT,34.34361,-118.61442,33
UABX,32.6316,-115.4447,32
SMI,34.03818,-120.35132,31
PDE,34.44199,-118.58215,30
PH008,35.974258,-120.552107,30
RHR,33.290213,-117.176482,30
SYN,34.60723,-120.0696,29
SMR,35.37699,-120.61247,25
HDH,34.77529,-118.63999,25
RHC2,34.00095,-118.01333,24
SRI,33.97875,-120.07886,24
LTP,33.8811,-118.17568,23
WBM,35.60839,-117.89049,23
NSP,36.7278,-116.2124,22
CPX,32.419498,-115.305,21
MTP,35.48434,-115.5532,20
RIO,34.10473,-117.97956,19
STS,33.79033,-118.19878,18
TSCS,35.4407,-120.3537,18
TRAY,35.55168,-120.12583,18
TPFO,33.606,-116.4544,18
U11A,36.423,-115.3835,17
CHR,34.729019,-119.392693,17
TCAS,35.6095,-120.5601,17
V12A,35.7266,-114.8511,16
BLY,33.7503,-114.52375,15
SPRS,36.6882,-116.1781,15
U12A,36.4321,-114.5388,15
U04C,36.3627,-120.7828,15
SCI2,32.915,-118.4879,14
NEE2,34.76759,-114.61881,13
SMW,35.01108,-120.40997,12
HELL,36.68011,-119.02282,12
NCH,34.9427,-119.67395,12
MCY,36.661753,-115.962296,11
AVM,35.06562,-116.61549,11
SMS,34.01438,-118.45617,11
RTPP,36.7214,-116.129,11
LUS,33.01375,-117.16305,11
U10A,36.4193,-116.3297,10
U05C,36.3356,-120.1205,10
V05C,35.8667,-119.9028,8
112A,32.5356,-114.5804,2
